"polProcessID","sourceTypeID","fuelTypeID","PM10PM25Ratio","PM10PM25RatioCV","minModelYearID","maxModelYearID"
10609,31,5,8.0,0.0,1940,2060
10609,31,9,8.0,0.0,1940,2060
10609,32,1,8.0,0.0,1940,2060
10609,32,2,8.0,0.0,1940,2060
10609,32,3,8.0,0.0,1940,2060
10609,32,5,8.0,0.0,1940,2060
10609,32,9,8.0,0.0,1940,2060
10609,41,1,8.0,0.0,1940,2060
10609,41,2,8.0,0.0,1940,2060
10609,41,3,8.0,0.0,1940,2060
10609,41,5,8.0,0.0,1940,2060
10609,41,9,8.0,0.0,1940,2060
10609,42,1,8.0,0.0,1940,2060
10609,42,2,8.0,0.0,1940,2060
10609,42,3,8.0,0.0,1940,2060
10609,42,5,8.0,0.0,1940,2060
10609,42,9,8.0,0.0,1940,2060
10609,43,1,8.0,0.0,1940,2060
10609,43,2,8.0,0.0,1940,2060
10609,43,3,8.0,0.0,1940,2060
10609,43,5,8.0,0.0,1940,2060
10609,43,9,8.0,0.0,1940,2060
10609,51,1,8.0,0.0,1940,2060
10609,51,2,8.0,0.0,1940,2060
10609,51,3,8.0,0.0,1940,2060
10609,51,5,8.0,0.0,1940,2060
10609,51,9,8.0,0.0,1940,2060
10609,52,1,8.0,0.0,1940,2060
10609,52,2,8.0,0.0,1940,2060
10609,52,3,8.0,0.0,1940,2060
10609,52,5,8.0,0.0,1940,2060
10609,52,9,8.0,0.0,1940,2060
10609,53,1,8.0,0.0,1940,2060
10609,53,2,8.0,0.0,1940,2060
10609,53,3,8.0,0.0,1940,2060
10609,53,5,8.0,0.0,1940,2060
10609,53,9,8.0,0.0,1940,2060
10609,54,1,8.0,0.0,1940,2060
10609,54,2,8.0,0.0,1940,2060
10609,54,3,8.0,0.0,1940,2060
10609,54,5,8.0,0.0,1940,2060
10609,54,9,8.0,0.0,1940,2060
10609,61,1,8.0,0.0,1940,2060
10609,61,2,8.0,0.0,1940,2060
10609,61,3,8.0,0.0,1940,2060
10609,61,5,8.0,0.0,1940,2060
10609,61,9,8.0,0.0,1940,2060
10609,62,1,8.0,0.0,1940,2060
10609,62,2,8.0,0.0,1940,2060
10609,62,3,8.0,0.0,1940,2060
10609,62,5,8.0,0.0,1940,2060
10609,62,9,8.0,0.0,1940,2060
10710,11,1,6.6667,0.0,1940,2060
10710,11,2,6.6667,0.0,1940,2060
10710,11,3,6.6667,0.0,1940,2060
10710,11,5,6.6667,0.0,1940,2060
10710,11,9,6.6667,0.0,1940,2060
10710,21,1,6.6667,0.0,1940,2060
10710,21,2,6.6667,0.0,1940,2060
10710,21,3,6.6667,0.0,1940,2060
10710,21,5,6.6667,0.0,1940,2060
10710,21,9,6.6667,0.0,1940,2060
10710,31,1,6.6667,0.0,1940,2060
10710,31,2,6.6667,0.0,1940,2060
10710,31,3,6.6667,0.0,1940,2060
10710,31,5,6.6667,0.0,1940,2060
10710,31,9,6.6667,0.0,1940,2060
10710,32,1,6.6667,0.0,1940,2060
10710,32,2,6.6667,0.0,1940,2060
10710,32,3,6.6667,0.0,1940,2060
10710,32,5,6.6667,0.0,1940,2060
10710,32,9,6.6667,0.0,1940,2060
10710,41,1,6.6667,0.0,1940,2060
10710,41,2,6.6667,0.0,1940,2060
10710,41,3,6.6667,0.0,1940,2060
10710,41,5,6.6667,0.0,1940,2060
10710,41,9,6.6667,0.0,1940,2060
10710,42,1,6.6667,0.0,1940,2060
10710,42,2,6.6667,0.0,1940,2060
10710,42,3,6.6667,0.0,1940,2060
10710,42,5,6.6667,0.0,1940,2060
10710,42,9,6.6667,0.0,1940,2060
10710,43,1,6.6667,0.0,1940,2060
10710,43,2,6.6667,0.0,1940,2060
10710,43,3,6.6667,0.0,1940,2060
10710,43,5,6.6667,0.0,1940,2060
10710,43,9,6.6667,0.0,1940,2060
10710,51,1,6.6667,0.0,1940,2060
10710,51,2,6.6667,0.0,1940,2060
10710,51,3,6.6667,0.0,1940,2060
10710,51,5,6.6667,0.0,1940,2060
10710,51,9,6.6667,0.0,1940,2060
10710,52,1,6.6667,0.0,1940,2060
10710,52,2,6.6667,0.0,1940,2060
10710,52,3,6.6667,0.0,1940,2060
10710,52,5,6.6667,0.0,1940,2060
10710,52,9,6.6667,0.0,1940,2060
10710,53,1,6.6667,0.0,1940,2060
