X,Y,OBJECTID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,Vdist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,Link_Imports
-93.271135,30.2412150000001,222,392,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WESTLAKE,Louisiana,3,,125,51.6,,,48,34,277,65.2,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.2412,-93.2711,
-108.490143,45.7805700000001,223,393,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,BILLINGS,Montana,4,,45.1,25,,,9.2,11.3,81.2,20,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",45.7806,-108.4901,
-97.079264,36.675939,224,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,PONCA CITY,Oklahoma,2,,89,76.9,,,49.3,17.6,242.7,27.4,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.6759,-97.0793,
-93.962546,29.8573680000001,225,434,PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,PORT ARTHUR,Texas,3,,220,75,134.8,,58,19.5,339.1,103,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8574,-93.9625,
-92.673774,33.199731,226,442,LION OIL CO,DELEK GROUP LTD,EL DORADO,Arkansas,3,,45,21,,,15.3,13,92.8,,20.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.1997,-92.6738,
-95.251761,29.701556,227,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,HOUSTON,Texas,3,,196.5,110,,,,11.3,400.6,100.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7016,-95.2518,
-147.748499,64.85276,228,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,NORTH POLE,Alaska,5,,,,,,,,,,3,EIA-820 Refinery Capacity Report,"As of January 1, 2023",64.8528,-147.7485,
-146.381762,61.081919,229,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,VALDEZ,Alaska,5,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",61.0819,-146.3818,
-93.332596,30.1811740000001,230,465,CITGO PETROLEUM CORP,PDV AMERICA INC,LAKE CHARLES,Louisiana,3,,230,151,51.2,,118.2,56.1,410.5,110,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1812,-93.3326,
-97.428434,27.809474,231,478,CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,CORPUS CHRISTI,Texas,3,,85.3,71.4,,,51.5,25.2,273.5,45.1,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8095,-97.4284,
-120.51108,34.930191,232,489,,,,,,,,,,,,,,,,,"As of January 1, 2023",34.9302,-120.5111,
