State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
13,293,Upson,GA,Georgia,p94,SRSOc
16,41,Franklin,ID,Idaho,p16,NWPPc
6,75,San Francisco,CA,California,p9,CAMXc
1,49,DeKalb,AL,Alabama,p89,SRSOc
17,189,Washington,IL,Illinois,p81,SRMWc
6,43,Mariposa,CA,California,p9,CAMXc
6,57,Nevada,CA,California,p9,CAMXc
12,17,Citrus,FL,Florida,p101,FRCCc
51,530,Buena Vista,VA,Virginia,p99,SRVCc
53,5,Benton,WA,Washington,p2,NWPPc
8,53,Hinsdale,CO,Colorado,p34,RMPAc
51,159,Richmond,VA,Virginia,p99,SRVCc
13,275,Thomas,GA,Georgia,p94,SRSOc
39,11,Auglaize,OH,Ohio,p112,RFCWc
48,127,Dimmit,TX,Texas,p65,ERCTc
45,3,Aiken,SC,South Carolina,p96,SRVCc
18,63,Hendricks,IN,Indiana,p105,RFCWc
48,419,Shelby,TX,Texas,p66,SRMVc
1,23,Choctaw,AL,Alabama,p89,SRSOc
21,183,Ohio,KY,Kentucky,p108,SRTVc
55,129,Washburn,WI,Wisconsin,p46,MROWc
1,111,Randolph,AL,Alabama,p90,SRSOc
31,185,York,NE,Nebraska,p40,MROWc
19,37,Chickasaw,IA,Iowa,p69,MROWc
17,201,Winnebago,IL,Illinois,p80,RFCWc
19,15,Boone,IA,Iowa,p70,MROWc
48,453,Travis,TX,Texas,p64,ERCTc
55,97,Portage,WI,Wisconsin,p75,MROEc
26,83,Keweenaw,MI,Michigan,p74,MROEc
17,145,Perry,IL,Illinois,p81,SRMWc
13,73,Columbia,GA,Georgia,p94,SRSOc
27,95,Mille Lacs,MN,Minnesota,p43,MROWc
13,241,Rabun,GA,Georgia,p94,SRSOc
35,6,Cibola,NM,New Mexico,p31,AZNMc
13,67,Cobb,GA,Georgia,p94,SRSOc
37,157,Rockingham,NC,North Carolina,p97,SRVCc
18,39,Elkhart,IN,Indiana,p105,RFCWc
48,183,Gregg,TX,Texas,p57,SPSOc
37,131,Northampton,NC,North Carolina,p98,SRVCc
28,19,Choctaw,MS,Mississippi,p88,SRTVc
45,53,Jasper,SC,South Carolina,p96,SRVCc
