state,country,t,co2_gen_mmt,nuclear_MWh,coal_MWh,o-g-s_MWh,gas-cc_MWh,gas-ct_MWh,hydro_MWh,canada_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,battery_MWh,curtailment_MWh,nuclear_MW,coal_MW,o-g-s_MW,gas-cc_MW,gas-ct_MW,hydro_MW,geothermal_MW,biomass_MW,wind-ons_MW,wind-ofs_MW,csp_MW,upv_MW,distpv_MW,battery_MW,nuclear_gen_frac,canada_gen_frac,o-g-s_gen_frac,biomass_gen_frac,gas-ct_gen_frac,wind-ofs_gen_frac,upv_gen_frac,wind-ons_gen_frac,coal_gen_frac,geothermal_gen_frac,distpv_gen_frac,gas-cc_gen_frac,csp_gen_frac,hydro_gen_frac,water_consumption,water_withdrawal,generation_MWh
VT,usa,2010,0.001928084,4.896545776,0,0.012903247,5.247389413,0.00330576,1.50149493,14.504,0,0.544981325,0.0162936,0,0,0.001609305,8.32E-05,0,0,0.619422,0,0.013767,0.663804362,0.0852,0.28128,0,0.0752,0.0062,0,0,0.000909091,0.000171566,0,0.183194951,0.542639586,0.00048275,0.02038944,0.000123679,0,6.02E-05,0.000609594,0,0,3.11E-06,0.196321099,0,0.056175578,2.698338292,218.9825654,26.72860655
WA,usa,2010,0.014190402,8.903136045,9.9306864,0,6.442863624,0,76.17291955,-4.631028732,0,1.255150061,5.795294508,0,0,0.000954161,0.00010118,0,0,1.126263,1.34,0.05471,3.0987,0.7258,21.577712,0,0.1856,2.205211,0,0,0.000454545,0.000192796,0.258248,0.085714157,-0.044584821,0,0.012083846,0,0,9.19E-06,0.055793687,0.095606807,0,9.74E-07,0.062028101,0,0.733348062,14.59788893,22.19844894,103.8700768
WI,usa,2010,0.052662344,12.26356965,48.45111177,0,7.14931149,0.148368658,1.809219006,0,0,0.724707656,1.23124428,0,0,0.000207965,0.000110897,0,0,1.551364,7.400501202,0.2933,2.6624,3.78661,0.333265,0,0.16809,0.46851,0,0,0.000110909,0.000211897,0,0.17085451,0,0,0.010096536,0.002067053,0,2.90E-06,0.01715354,0.675014797,0,1.55E-06,0.099603309,0,0.025205812,26.38012875,1403.146823,71.77785138
WV,usa,2010,0.075448937,0,79.28795688,0,0,0.0291,1.536566276,0,0,0,1.131354,0,0,0,0,0,0,0,14.63758179,0,0,1.049,0.195802,0,0,0.4305,0,0,0,0,0,0,0,0,0,0.000354943,0,0,0.013799528,0.967103482,0,0,0,0,0.018742047,48.51403334,560.6443389,81.98497716
WY,usa,2010,0.04630707,0,41.58871487,0,0,0.007409453,1.003518202,0,0,0,3.73470336,0,0,0,0,0,0,0,6.0219,0.0047,0,0.113,0.3076,0,0,1.42112,0,0,0,0,0,0,0,0,0,0.000159913,0,0,0.080603347,0.897578547,0,0,0,0,0.021658193,24.32980962,140.3230387,46.33434588
AL,usa,2012,0.035812061,40.05001359,6.366051383,0,73.24004736,0.175354292,7.79446296,0,0,1.954627428,8.41E-05,0,0,0,0,0,0,5.0664,11.4685,0.0266,9.265,2.5414,3.04256,0,0.29494,3.20E-05,0,0,0,0,0,0.30907405,0,0,0.015084255,0.001353245,0,0,6.49E-07,0.049128105,0,0,0.56520825,0,0.060151446,35.01054085,1360.946417,129.5806411
AR,usa,2012,0.01584423,14.38398167,2.963092248,0,29.33578454,0.069312627,2.572431167,0,0,0.069741514,0,0,0,0,0,0,0,1.8196,5.122401,2.2562,4.8755,0.7876,1.3549,0,0.0128,0,0,0,0,0,0.028,0.291207061,0,0,0.001411933,0.00140325,0,0,0,0.059988493,0,0,0.593909794,0,0.052079468,17.27106524,52.04619289,49.39434376
AZ,usa,2012,0.053319643,31.12207949,45.71559324,0,16.23913435,0.010284111,7.944548992,0,0,0.237006092,0.508182893,0,0.008015591,0.98499061,0.23868519,-1.06E-05,-3.28E-05,3.937,6.17,1.32,9.8649,2.441129,2.170496,0,0.03844,0.2373,0,0.0065,0.767716364,0.293272727,0.2163,0.302131118,0,0,0.00230084,9.98E-05,0,0.009562225,0.004933406,0.443803998,0,0.00231714,0.157648457,7.78E-05,0.077125164,54.08997329,113.2187096,103.0085206
CA,usa,2012,0.04429249,35.9678592,1.328044032,0,104.793108,0.308797757,35.62105049,0,15.5838896,5.429921397,12.7041449,0,1.101245141,1.77921614,1.078239751,-2.77E-05,-0.005475718,4.55,0.1792,15.13896,19.05682919,7.953671,10.214125,2.0929,0.884254,5.46133,0,0.447687,1.074289,1.567636364,3.866,0.166752929,0,0,0.025174011,0.001431637,0,0.00824874,0.058898512,0.006157031,0.072249483,0.004998897,0.485838138,0.005105554,0.165145067,33.42479765,1807.702498,215.6955164
CO,usa,2012,0.040451979,0,37.70735426,0,3.48231761,0.087853646,1.794606822,0,0,0.086831152,5.432381606,0,0.02786266,0.200170641,0.116467887,0,0,0,5.4615,0.2549,2.72724,2.8852,0.671715,0,0.013,2.2994,0,0.031,0.132084091,0.151727273,0.5625,0,0,0,0.001774387,0.001795282,0,0.004090471,0.111010272,0.770546688,0,0.002380012,0.071160874,0.000569371,0.036672643,25.00690311,75.07339512,48.93584629
