Region,State,Plant,ORSPL,Unit,Full Name,County,ORSPL|Unit|Region,Generation,Heat Input,PM2.5,VOCs,NH3
Midwest,AR,City Water & Light - City of Jonesboro,56505,SN06,City Water & Light - City of Jonesboro SN06,Craighead County,56505|SN06|Midwest,10844,119630.7,0.018792659,0.023527375,0.006576566
Midwest,AR,City Water & Light - City of Jonesboro,56505,SN07,City Water & Light - City of Jonesboro SN07,Craighead County,56505|SN07|Midwest,15362,161921.5,0.137178634,0.17146403,0.006576566
Midwest,IA,Dubuque,1046,1,Dubuque 1,Dubuque County,1046|1|Midwest,0,0,0,0,0
Midwest,IA,Dubuque,1046,5,Dubuque 5,Dubuque County,1046|5|Midwest,0,0,0,0,0
Midwest,IA,Dubuque,1046,6,Dubuque 6,Dubuque County,1046|6|Midwest,0,0,0,0,0
Midwest,IA,Lansing,1047,4,Lansing 4,Allamakee County,1047|4|Midwest,693498.46,7326894.854,0.009312555,0.00377174,0.006119798
Midwest,IA,Milton L Kapp,1048,2,Milton L Kapp 2,Clinton County,1048|2|Midwest,0,0,0,0,0
Midwest,IA,Marshalltown CTs,1068,1A,Marshalltown CTs 1A,Marshall County,1068|1A|Midwest,11107.26,148795.048,0.006158684,0.001958338,0.006576566
Midwest,IA,Marshalltown CTs,1068,1B,Marshalltown CTs 1B,Marshall County,1068|1B|Midwest,12141.97,162843.013,0.006156805,0.001957732,0.006576566
Midwest,IA,Marshalltown CTs,1068,2A,Marshalltown CTs 2A,Marshall County,1068|2A|Midwest,18520.8,229514.116,0.006163159,0.001959756,0.006576566
Midwest,IA,Marshalltown CTs,1068,2B,Marshalltown CTs 2B,Marshall County,1068|2B|Midwest,18239.65,226124.6,0.006162703,0.00195961,0.006576566
Midwest,IA,Marshalltown CTs,1068,3A,Marshalltown CTs 3A,Marshall County,1068|3A|Midwest,14540.42,185983.562,0.006152603,0.001956402,0.006576566
Midwest,IA,Marshalltown CTs,1068,3B,Marshalltown CTs 3B,Marshall County,1068|3B|Midwest,14261.48,182622.432,0.006152624,0.001956403,0.006576566
Midwest,IA,Prairie Creek,1073,3,Prairie Creek 3,Linn County,1073|3|Midwest,0,3043396.47,0,0,0
Midwest,IA,Prairie Creek,1073,4,Prairie Creek 4,Linn County,1073|4|Midwest,0,626892.71,0,0,0
Midwest,IA,Sutherland,1077,1,Sutherland 1,Marshall County,1077|1|Midwest,0,0,0,0,0
Midwest,IA,Sutherland,1077,3,Sutherland 3,Marshall County,1077|3|Midwest,0,0,0,0,0
Midwest,IA,Riverside (1081),1081,9,Riverside (1081) 9,Scott County,1081|9|Midwest,0,0,0.007068616,0.00511546,0.002976259
Midwest,IA,Walter Scott Jr. Energy Center,1082,3,Walter Scott Jr. Energy Center 3,Pottawattamie County,1082|3|Midwest,3852760.31,38440324.36,0.007471711,0.003334885,4.68E-05
Midwest,IA,Walter Scott Jr. Energy Center,1082,4,Walter Scott Jr. Energy Center 4,Pottawattamie County,1082|4|Midwest,3065184.73,28699265.97,0.007456535,0.000390853,0.00031659
Midwest,IA,George Neal North,1091,3,George Neal North 3,Woodbury County,1091|3|Midwest,1862903.89,19054410.32,0.013068551,0.003308309,9.10E-05
