Region,State,Plant,ORSPL,Unit,Full Name,County,Generation
Mid-Atlantic,PA,Hickory Run Energy Station,61028,CT1,Hickory Run Energy Station CT1,Lawrence County,0
Mid-Atlantic,PA,Hickory Run Energy Station,61028,CT2,Hickory Run Energy Station CT2,Lawrence County,0
Mid-Atlantic,PA,Birdsboro Power,61035,01,Birdsboro Power 01,Berks County,0
Midwest,SD,Astoria Station,61144,1,Astoria Station 1,Deuel County,0
Texas,TX,Victoria City Peaking Facility,61241,CT1,Victoria City Peaking Facility CT1,Victoria County,0
Texas,TX,Victoria City Peaking Facility,61241,CT2,Victoria City Peaking Facility CT2,Victoria County,0
Texas,TX,Victoria Port Peaking Facility,61242,CT1,Victoria Port Peaking Facility CT1,Victoria County,0
Texas,TX,Victoria Port Peaking Facility,61242,CT2,Victoria Port Peaking Facility CT2,Victoria County,0
Mid-Atlantic,OH,Long Ridge Energy Generation,61322,CC1,Long Ridge Energy Generation CC1,Monroe County,0
Mid-Atlantic,PA,Hill Top Energy Center,62565,01,Hill Top Energy Center 01,Greene County,0
Midwest,MI,Delta Energy Park,63259,DEPC2,Delta Energy Park DEPC2,Eaton County,0
Midwest,MI,Delta Energy Park,63259,DEPC3,Delta Energy Park DEPC3,Eaton County,0
Midwest,MI,Delta Energy Park,63259,DEPS1,Delta Energy Park DEPS1,Eaton County,0
Texas,TX,HO Clarke Generating,63335,CT-1,HO Clarke Generating CT-1,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-2,HO Clarke Generating CT-2,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-3,HO Clarke Generating CT-3,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-4,HO Clarke Generating CT-4,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-5,HO Clarke Generating CT-5,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-6,HO Clarke Generating CT-6,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-7,HO Clarke Generating CT-7,Harris County,0
Texas,TX,HO Clarke Generating,63335,CT-8,HO Clarke Generating CT-8,Harris County,0
Central,OK,Tinker,63628,5A-1,Tinker 5A-1,Oklahoma County,0
Central,OK,Tinker,63628,5A-2,Tinker 5A-2,Oklahoma County,0
Central,OK,Tinker,63628,5B-1,Tinker 5B-1,Oklahoma County,0
Central,OK,Tinker,63628,5B-2,Tinker 5B-2,Oklahoma County,0
Texas,TX,Topaz Generating,63688,CT-1,Topaz Generating CT-1,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-10,Topaz Generating CT-10,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-2,Topaz Generating CT-2,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-3,Topaz Generating CT-3,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-4,Topaz Generating CT-4,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-5,Topaz Generating CT-5,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-6,Topaz Generating CT-6,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-7,Topaz Generating CT-7,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-8,Topaz Generating CT-8,Galveston County,0
Texas,TX,Topaz Generating,63688,CT-9,Topaz Generating CT-9,Galveston County,0
Southeast,GA,Hartwell Energy Facility,70454,MAG1,Hartwell Energy Facility MAG1,Hart County,74472.53
Southeast,GA,Hartwell Energy Facility,70454,MAG2,Hartwell Energy Facility MAG2,Hart County,16403.23
Mid-Atlantic,DC,GSA Central Heating,880004,3,GSA Central Heating 3,District of Columbia County,0
Mid-Atlantic,DC,GSA Central Heating,880004,4,GSA Central Heating 4,District of Columbia County,0
Mid-Atlantic,DC,GSA Central Heating,880004,5C,GSA Central Heating 5C,District of Columbia County,0
Mid-Atlantic,PA,Veolia Energy Philadelphia - Edison Sta,880006,1,Veolia Energy Philadelphia - Edison Sta 1,Philadelphia County,0
Mid-Atlantic,PA,Veolia Energy Philadelphia - Edison Sta,880006,2,Veolia Energy Philadelphia - Edison Sta 2,Philadelphia County,0
Mid-Atlantic,PA,Veolia Energy Philadelphia - Edison Sta,880006,3,Veolia Energy Philadelphia - Edison Sta 3,Philadelphia County,0
Mid-Atlantic,PA,Veolia Energy Philadelphia - Edison Sta,880006,4,Veolia Energy Philadelphia - Edison Sta 4,Philadelphia County,0
Mid-Atlantic,PA,AdvanSix Resins & Chemicals LLC,880007,052,AdvanSix Resins & Chemicals LLC 052,Philadelphia County,0
