"","sourceTypeID","modelYearID","fuelTypeID","engTechID","fuelEngFraction"
"615","31",1982,"5","1",0
"616","31",1982,"9","30",0
"617","31",1983,"1","1",0.996388043261171
"618","31",1983,"2","1",0.00361195673882914
"619","31",1983,"5","1",0
"620","31",1983,"9","30",0
"621","31",1984,"1","1",0.997494303995584
"622","31",1984,"2","1",0.00250569600441594
"623","31",1984,"5","1",0
"624","31",1984,"9","30",0
"625","31",1985,"1","1",0.998007453453671
"626","31",1985,"2","1",0.00199254654632911
"627","31",1985,"5","1",0
"628","31",1985,"9","30",0
"629","31",1986,"1","1",0.998016981723761
"630","31",1986,"2","1",0.00198301827623923
"631","31",1986,"5","1",0
"632","31",1986,"9","30",0
"633","31",1987,"1","1",0.998777895982247
"634","31",1987,"2","1",0.00122210401775312
"635","31",1987,"5","1",0
"636","31",1987,"9","30",0
"637","31",1988,"1","1",0.998758128962446
"638","31",1988,"2","1",0.0012418710375542
"639","31",1988,"5","1",0
"640","31",1988,"9","30",0
"641","31",1989,"1","1",0.969854043683263
"642","31",1989,"2","1",0.0301459563167373
"643","31",1989,"5","1",0
"644","31",1989,"9","30",0
"645","31",1990,"1","1",0.969292721490762
"646","31",1990,"2","1",0.0307072785092385
"647","31",1990,"5","1",0
"648","31",1990,"9","30",0
"649","31",1991,"1","1",0.96923210636809
"650","31",1991,"2","1",0.0307678936319101
"651","31",1991,"5","1",0
"652","31",1991,"9","30",0
"653","31",1992,"1","1",0.969422256789825
"654","31",1992,"2","1",0.0305777432101755
"655","31",1992,"5","1",0
"656","31",1992,"9","30",0
"657","31",1993,"1","1",0.967025350771663
"658","31",1993,"2","1",0.032974649228337
"659","31",1993,"5","1",0
"660","31",1993,"9","30",0
"661","31",1994,"1","1",0.966894857223218
"662","31",1994,"2","1",0.0331051427767816
"663","31",1994,"5","1",0
"664","31",1994,"9","30",0
"665","31",1995,"1","1",0.958995075213654
"666","31",1995,"2","1",0.0326333814971762
"667","31",1995,"5","1",0.00837105198181204
"668","31",1995,"9","30",4.91307357874018e-07
"669","31",1996,"1","1",0.955336875545059
"670","31",1996,"2","1",0.0276219843911283
"671","31",1996,"5","1",0.0170406783694191
"672","31",1996,"9","30",4.61694393492621e-07
"673","31",1997,"1","1",0.943524326773498
"674","31",1997,"2","1",0.0328678075637833
"675","31",1997,"5","1",0.0235983996745747
"676","31",1997,"9","30",9.46598814440122e-06
"677","31",1998,"1","1",0.956079016046459
"678","31",1998,"2","1",0.0102407646549594
"679","31",1998,"5","1",0.0336408967705056
"680","31",1998,"9","30",3.93225280761205e-05
"681","31",1999,"1","1",0.908726972732227
"682","31",1999,"2","1",0.0331056991217014
"683","31",1999,"5","1",0.0581318484428948
"684","31",1999,"9","30",3.54797031764945e-05
"685","31",2000,"1","1",0.910071944873805
"686","31",2000,"2","1",0.0234569929899443
"687","31",2000,"5","1",0.0664404084658399
"688","31",2000,"9","30",3.06536704103033e-05
"689","31",2001,"1","1",0.914897255998055
"690","31",2001,"2","1",0.0233139131124263
"691","31",2001,"5","1",0.0617648783538029
"692","31",2001,"9","30",2.39525357153983e-05
"693","31",2002,"1","1",0.924664479756442
"694","31",2002,"2","1",0.0182789060888292
"695","31",2002,"5","1",0.0570278840610322
"696","31",2002,"9","30",2.87300936962678e-05
"697","31",2003,"1","1",0.909222720339633
"698","31",2003,"2","1",0.0185060412266742
"699","31",2003,"5","1",0.0722653588478027
"700","31",2003,"9","30",5.87958588966983e-06
"701","31",2004,"1","1",0.899894588627821
"702","31",2004,"2","1",0.0144431517631613
"703","31",2004,"5","1",0.0856574824059048
"704","31",2004,"9","30",4.7772031123943e-06
"705","31",2005,"1","1",0.919091465890357
"706","31",2005,"2","1",0.011281803928868
"707","31",2005,"5","1",0.0696223261074998
"708","31",2005,"9","30",4.40407327559757e-06
