Unit,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mt CO2,Cyprus,1.744456,2.170397,2.275467,1.735447,1.658258,1.93937,2.115335,2.233691,2.428702,2.574554,2.528048,2.571672,2.62128,2.739296,2.765082,3.033896,3.595126,3.650016,3.814409,3.89137,4.444337,4.748779,4.941288,5.145025,5.048341,5.348298,5.471654,5.814504,6.072801,6.305013,6.188862,6.343101,7.017641,6.907324,7.047944,7.113808,7.4253,7.579383,7.502392,7.260554,7.000736,6.515882,5.630061,5.776906,5.900866,6.2692,6.367874
Mt CO2,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.488258,25.505906,19.869603,15.971906,10.403349,8.136847,6.328856,5.482123,4.909639,4.384622,4.632649,3.381844,2.819756,3.01999,3.204913,4.065656,4.525622,5.453393,4.666914,5.292218,4.995027,5.953731,6.609908,6.68514,7.719799,8.383116,8.809005,8.7203
Mt CO2,Gibraltar,0.068532,0.05923,0.059001,0.059048,0.062036,0.062083,0.058987,0.05583,0.077759,0.093542,0.087168,0.096578,0.087108,0.08389,0.090096,0.115457,0.127532,0.142825,0.136391,0.142765,0.202559,0.239888,0.242984,0.287117,0.280803,0.287056,0.296418,0.312033,0.324492,0.340046,0.349409,0.355662,0.361914,0.393159,0.405663,0.424375,0.421157,0.430445,0.471038,0.474195,0.45858,0.467989,0.499159,0.536595,0.589619,0.645692,0.7039
Mt CO2,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237.250885,246.365956,252.398442,216.238023,194.435994,170.519468,148.261303,125.620091,128.265938,115.894314,112.014087,109.245504,119.577281,134.803148,146.417341,156.902433,172.937357,187.204832,230.259087,202.716188,221.101402,234.81722,233.846139,249.15968,229.816281,245.762673,254.927792,255.767646
Mt CO2,Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.104602,6.47382,6.435991,6.773643,6.842717,6.639156,6.701349,7.030455,7.570421,8.397258,8.695947,8.605458,8.117446,8.296504,7.392382,8.605689,9.080385,8.16855
Mt CO2,Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.762333,20.42288,13.296698,9.794203,6.364922,4.45854,5.527695,5.398613,5.719911,4.619704,4.450168,3.761835,4.737819,5.260549,5.187071,4.8919,4.877132,5.963378,7.006248,6.521635,6.040358,7.21138,9.563712,8.750947,9.032191,9.896806,9.298993,8.909263
Mt CO2,Malta,0.655077,0.828296,0.794404,0.725875,0.651329,0.740289,0.781007,0.91718,0.892115,0.992263,1.125603,1.292897,0.970494,1.327076,1.15807,1.874862,1.964633,2.138238,2.318848,2.314617,2.210602,2.169051,2.806275,2.506954,2.378847,2.324338,2.469612,2.374492,2.409246,2.12916,2.489089,2.318417,2.60802,2.598015,2.621893,2.646157,2.711098,2.718652,2.504597,2.580576,2.567454,2.709905,2.372212,2.354011,1.6489,1.354078,1.516276
Mt CO2,Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.532115,24.599519,19.847857,17.008407,13.809785,11.892994,10.20956,9.310281,8.433962,7.141631,6.536841,6.843851,6.963168,7.519818,7.493321,7.810491,7.517954,7.436466,7.360146,7.298791,7.946552,7.918591,7.698491,6.705483,7.249277,7.57852,7.710688,7.526673
Mt CO2,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.004798,2.179294,2.098407,2.693314,1.747481,2.584208,2.535667,2.331593,2.267307,2.218423,2.358285,2.112994,2.206233
Mt CO2,Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.591283,8.383742,8.332391,8.639659,8.350826,8.305696,9.862495,8.786101,9.651408,8.879545,8.522107,8.670612,8.128537,8.829072,8.542584,8.917292,8.912976,9.339666,9.12527,8.502029,8.319696,9.148742,8.792818,7.8537,7.436958,7.133668,6.947674,7.440699
Mt CO2,Romania,114.671667,118.342977,129.115526,129.79499,140.600336,153.509375,160.745392,174.373152,178.746919,177.369151,178.701875,176.472288,178.706238,174.90482,174.876064,180.005639,188.877836,193.787767,189.850617,168.188564,139.173936,123.087012,114.805639,112.321691,117.587815,120.752931,110.418687,96.476601,82.855418,86.222025,91.340662,90.949271,96.97367,93.74113,92.632653,95.285763,92.38187,91.070886,77.431117,74.725473,80.859371,78.578501,69.312297,68.466683,69.55857,67.962637,70.78876
Mt CO2,Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2163.53307,2136.444268,1959.348086,1799.795292,1596.3903,1548.252185,1521.658005,1414.791763,1406.588154,1442.981854,1474.394287,1474.669977,1465.851034,1493.895749,1488.20149,1481.897136,1537.702664,1533.725251,1553.838333,1440.681104,1529.228168,1604.742898,1607.949744,1568.533162,1551.605133,1534.458233,1510.557598,1536.878825
Mt CO2,Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.906503,52.202448,47.991939,42.718086,38.904648,44.548887,51.652141,56.314932,56.209743,40.010128,42.93935,45.002762,48.581164,52.145004,56.345334,50.320015,52.464943,51.238268,49.905475,45.955643,45.61019,49.775918,44.570331,45.373816,38.045,44.459955,45.474363,46.129569
Mt CO2,Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.018172,10.171663,7.489935,5.020133,2.937321,2.459615,2.21569,2.495772,2.756881,2.529902,2.176522,2.115829,2.084936,2.093826,2.502434,2.347227,2.54852,3.114771,2.948035,2.309775,2.302905,2.41822,2.892174,3.007117,4.021592,4.211795,5.428489,5.843657
