"Function","Attribute","Value","Type"
"vehicle_fc_changes_weight_f","vehicle","","Internal"
"vehicle_fc_changes_weight_f","model_year","","Internal"
"vehicle_frv_f","vehicle","","Internal"
"vehicle_frv_f","model_year","","Internal"
"vehicle_frv_f","fc_impro",,"External"
"vehicle_frv_f","fc_dr_city",,"External"
"vehicle_frv_f","frv_pwt_r",,"External"
"vehicle_gwp_f","gwp_th",,"External"
"vehicle_gwp_f","gwp_cc_fb",,"External"
"vehicle_hist_fc_f","vehicle","","Internal"
"vehicle_hist_fc_f","first_yr",,"External"
"vehicle_hist_fc_f","last_yr",,"External"
"vehicle_hist_fc_f","fc_ev_mdl",,"External"
"vehicle_hist_fc_f","fc_conv_mdl",,"External"
"vehicle_hist_material_composition_f","vehicle","","Internal"
"vehicle_hist_material_composition_f","first_yr",,"External"
"vehicle_hist_material_composition_f","last_yr",,"External"
"vehicle_initialize_f","technology","","Internal"
"vehicle_initialize_f","size","","Internal"
"vehicle_initialize_f","first_yr",,"External"
"vehicle_initialize_f","last_yr",,"External"
"vehicle_initialize_f","BEV_bat_t",,"External"
"vehicle_initialize_f","PHEV_bat_t",,"External"
"vehicle_initialize_f","HEV_bat_t",,"External"
"vehicle_lca_demand_matrix_f","techno","","Internal"
"vehicle_lca_demand_matrix_f","size","","Internal"
"vehicle_lca_demand_matrix_f","model_year","","Internal"
"vehicle_lca_demand_matrix_f","lca_veh_lifetime_mdl",,"External"
"vehicle_lca_demand_matrix_f","first_yr",,"External"
"vehicle_lca_demand_matrix_f","last_yr",,"External"
"vehicle_lca_demand_matrix_f","efuel_dep_mdl",,"External"
"vehicle_lca_demand_matrix_f","efuel_dep_rate",,"External"
"vehicle_lca_demand_matrix_f","efuel_param_scen",,"External"
"vehicle_lci_f","vh_lca_yrs",,"External"
"vehicle_module_f","last_yr",,"External"
"vehicle_peak_power_f","vehicle","","Internal"
"vehicle_peak_power_f","model_year","","Internal"
"vehicle_peak_power_f","HEV_bat_t",,"External"
"vehicle_specifications_f","vehicle","","Internal"
"vehicle_specifications_f","fc_impro",,"External"
"vehicle_specifications_f","first_yr",,"External"
"vehicle_specifications_f","last_yr",,"External"
"vehicle_utility_factor_f","vehicle","","Internal"
"vehicle_utility_factor_f","model_year","","Internal"
"vehicle_weight_changes_battery_f","vehicle","","Internal"
"vehicle_weight_changes_battery_f","model_year","","Internal"
"vehicle_weight_changes_battery_f","mat_mc_component","","Internal"
"vehicle_weight_changes_battery_f","bat_resz_ratio",,"External"
"vehicle_weight_changes_battery_f","mat_i_mc_component","0","Internal"
"vehicle_weight_changes_battery_f","weight_iteration","n","Internal"
"vehicle_weight_changes_f","vehicle","","Internal"
"vehicle_weight_changes_f","model_year","","Internal"
"vehicle_weight_changes_f","sms_cutoff",,"External"
"vehicle_weight_changes_powertrain_f","vehicle","","Internal"
"vehicle_weight_changes_powertrain_f","model_year","","Internal"
"vehicle_weight_changes_powertrain_f","mat_mc_component","","Internal"
"vehicle_weight_changes_powertrain_f","pwtr_resz_ratio",,"External"
"vehicle_weight_changes_powertrain_f","mat_i_mc_component","0","Internal"
"vehicle_weight_changes_powertrain_f","weight_iteration","n","Internal"
"vehicle_weight_changes_secondary_f","vehicle","","Internal"
"vehicle_weight_changes_secondary_f","model_year","","Internal"
"vehicle_weight_changes_secondary_f","mat_mc_component","","Internal"
"vehicle_weight_changes_secondary_f","sms_ratio",,"External"
"vehicle_weight_changes_secondary_f","mat_i_mc_component","0","Internal"
"vehicle_weight_changes_secondary_f","weight_iteration","n","Internal"
"vehicle_wgt_changes_feature_f","vehicle","","Internal"
"vehicle_wgt_changes_feature_f","model_year","","Internal"
"vehicle_wgt_changes_feature_f","mat_mc_component","","Internal"
"vehicle_wgt_changes_feature_f","feature_wgt",,"External"
"vehicle_wgt_changes_lightweighting_f","vehicle","","Internal"
"vehicle_wgt_changes_lightweighting_f","model_year","","Internal"
"vehicle_wgt_changes_lightweighting_f","mat_mc_component","","Internal"
"vehicle_wgt_changes_lightweighting_f","lw_scen",,"External"
"vehicle_wgt_changes_lightweighting_f","lw_first_yr",,"External"
"vehicle_wgt_changes_lightweighting_f","lw_period",,"External"
